onet_soc_code,task_id,task_statement
11-1011.00,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."
11-1011.00,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
11-1011.00,8827,"Prepare budgets for approval, including those for funding or implementation of programs."
11-1011.00,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
11-1011.00,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
11-1011.00,8836,Implement corrective action plans to solve organizational or departmental problems.
11-1011.00,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
11-1011.00,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
11-1011.00,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."
11-1011.00,8831,Appoint department heads or managers and assign or delegate responsibilities to them.
11-1011.00,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
11-1011.00,8830,Review reports submitted by staff members to recommend approval or to suggest changes.
11-1011.00,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."
11-1011.00,8835,Establish departmental responsibilities and coordinate functions among departments and sites.
11-1011.00,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
11-1011.00,8840,"Serve as liaisons between organizations, shareholders, and outside organizations."
11-1011.00,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."
11-1011.00,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards."
11-1011.00,8849,Attend and participate in meetings of municipal councils or council committees.
11-1011.00,8850,Organize or approve promotional campaigns.
11-1011.00,8842,Nominate citizens to boards or commissions.
11-1011.00,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
11-1011.00,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.
11-1011.00,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced."
11-1011.00,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets."
11-1011.00,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
11-1011.00,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
11-1011.00,8845,Refer major policy matters to elected representatives for final decisions.
11-1011.00,8848,Direct or conduct studies or research on issues affecting areas of responsibility.
11-1011.00,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."
11-1011.00,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so."
11-1011.03,15382,Monitor and evaluate effectiveness of sustainability programs.
11-1011.03,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
11-1011.03,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems."
11-1011.03,15372,Supervise employees or volunteers working on sustainability projects.
11-1011.03,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
11-1011.03,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
11-1011.03,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.
11-1011.03,15370,"Create and maintain sustainability program documents, such as schedules and budgets."
11-1011.03,15375,Formulate or implement sustainability campaign or marketing strategies.
11-1011.03,15376,"Research environmental sustainability issues, concerns, or stakeholder interests."
11-1011.03,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.
11-1011.03,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives."
11-1011.03,15381,Develop methodologies to assess the viability or success of sustainability initiatives.
11-1011.03,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws."
11-1011.03,15373,Write and distribute financial or environmental impact reports.
11-1011.03,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives."
11-1011.03,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers."
11-1011.03,15369,Conduct risk assessments related to sustainability and the environment.
11-1021.00,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."
11-1021.00,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
11-1021.00,20700,Direct administrative activities directly related to making products or providing services.
11-1021.00,20701,Prepare staff work schedules and assign specific duties.
11-1021.00,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency."
11-1021.00,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers."
11-1021.00,20705,"Perform personnel functions, such as selection, training, or evaluation."
11-1021.00,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."
11-1021.00,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.
11-1021.00,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations."
11-1021.00,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand."
11-1021.00,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."
11-1021.00,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
11-1021.00,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing."
11-1021.00,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management."
11-1021.00,949,Plan store layouts or design displays.
11-1021.00,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
11-1031.00,15267,Analyze and understand the local and national implications of proposed legislation.
11-1031.00,15268,"Appoint nominees to leadership posts, or approve such appointments."
11-1031.00,15269,Confer with colleagues to formulate positions and strategies pertaining to pending issues.
11-1031.00,15270,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure."
11-1031.00,15271,Develop expertise in subject matters related to committee assignments.
11-1031.00,15272,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration."
11-1031.00,15273,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts."
11-1031.00,15274,Maintain knowledge of relevant national and international current events.
11-1031.00,15275,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders."
11-1031.00,15276,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements."
11-1031.00,15277,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures."
11-1031.00,15278,Read and review concerns of constituents or the general public and determine if governmental action is necessary.
11-1031.00,15279,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media."
11-1031.00,15280,"Review bills in committee, and make recommendations about their future."
11-1031.00,15281,Seek federal funding for local projects and programs.
11-1031.00,15282,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action."
