task_id,onet_soc_code,automation_share,augmentation_share,source
8823,11-1011.00,0.377358,0.622642,anthropic_economic_index_2025_03_27
8824,11-1011.00,0.289474,0.710526,anthropic_economic_index_2025_03_27
8834,11-1011.00,0.396226,0.603774,anthropic_economic_index_2025_03_27
8825,11-1011.00,0.323144,0.676856,anthropic_economic_index_2025_03_27
8843,11-1011.00,0.112840,0.887160,anthropic_economic_index_2025_03_27
8840,11-1011.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
8847,11-1011.00,0.310811,0.689189,anthropic_economic_index_2025_03_27
20461,11-1011.00,0.405063,0.594937,anthropic_economic_index_2025_03_27
15378,11-1011.03,0.470588,0.529412,anthropic_economic_index_2025_03_27
15380,11-1011.03,0.000000,1.000000,anthropic_economic_index_2025_03_27
15375,11-1011.03,0.000000,1.000000,anthropic_economic_index_2025_03_27
15376,11-1011.03,0.000000,1.000000,anthropic_economic_index_2025_03_27
15371,11-1011.03,0.388889,0.611111,anthropic_economic_index_2025_03_27
20699,11-1021.00,0.458065,0.541935,anthropic_economic_index_2025_03_27
15277,11-1031.00,0.425000,0.575000,anthropic_economic_index_2025_03_27
15284,11-1031.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
15288,11-1031.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
3224,11-2011.00,0.333333,0.666667,anthropic_economic_index_2025_03_27
21218,11-2011.00,0.375000,0.625000,anthropic_economic_index_2025_03_27
3233,11-2011.00,0.370968,0.629032,anthropic_economic_index_2025_03_27
3245,11-2011.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21224,11-2011.00,0.485981,0.514019,anthropic_economic_index_2025_03_27
20709,11-2021.00,0.335766,0.664234,anthropic_economic_index_2025_03_27
951,11-2021.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
950,11-2021.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
960,11-2021.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
962,11-2021.00,0.218978,0.781022,anthropic_economic_index_2025_03_27
19504,11-2021.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
1,11-2022.00,0.352941,0.647059,anthropic_economic_index_2025_03_27
4,11-2022.00,0.432432,0.567568,anthropic_economic_index_2025_03_27
10,11-2022.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21245,11-2032.00,0.322523,0.677477,anthropic_economic_index_2025_03_27
21229,11-2032.00,0.289348,0.710652,anthropic_economic_index_2025_03_27
21232,11-2032.00,0.484848,0.515152,anthropic_economic_index_2025_03_27
21244,11-2032.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21234,11-2032.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
21252,11-2033.00,0.529412,0.470588,anthropic_economic_index_2025_03_27
21247,11-2033.00,0.426170,0.573830,anthropic_economic_index_2025_03_27
21261,11-2033.00,0.322523,0.677477,anthropic_economic_index_2025_03_27
21298,11-3013.01,0.486166,0.513834,anthropic_economic_index_2025_03_27
21283,11-3013.01,0.336111,0.663889,anthropic_economic_index_2025_03_27
21284,11-3013.01,0.336000,0.664000,anthropic_economic_index_2025_03_27
21288,11-3013.01,0.388889,0.611111,anthropic_economic_index_2025_03_27
21310,11-3013.01,0.437086,0.562914,anthropic_economic_index_2025_03_27
21286,11-3013.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
967,11-3021.00,0.220044,0.779956,anthropic_economic_index_2025_03_27
976,11-3021.00,0.357143,0.642857,anthropic_economic_index_2025_03_27
973,11-3021.00,0.409091,0.590909,anthropic_economic_index_2025_03_27
21321,11-3031.00,0.384921,0.615079,anthropic_economic_index_2025_03_27
21317,11-3031.00,0.552632,0.447368,anthropic_economic_index_2025_03_27
21323,11-3031.00,0.367816,0.632184,anthropic_economic_index_2025_03_27
21326,11-3031.00,0.484848,0.515152,anthropic_economic_index_2025_03_27
21329,11-3031.00,0.431818,0.568182,anthropic_economic_index_2025_03_27
8861,11-3031.01,0.586667,0.413333,anthropic_economic_index_2025_03_27
8868,11-3031.01,0.000000,1.000000,anthropic_economic_index_2025_03_27
8867,11-3031.01,0.230769,0.769231,anthropic_economic_index_2025_03_27
8859,11-3031.01,0.082927,0.917073,anthropic_economic_index_2025_03_27
15675,11-3031.03,0.541667,0.458333,anthropic_economic_index_2025_03_27
15667,11-3031.03,0.354244,0.645756,anthropic_economic_index_2025_03_27
15668,11-3031.03,0.210773,0.789227,anthropic_economic_index_2025_03_27
15664,11-3031.03,0.441860,0.558140,anthropic_economic_index_2025_03_27
15674,11-3031.03,1.000000,0.000000,anthropic_economic_index_2025_03_27
15673,11-3031.03,0.356164,0.643836,anthropic_economic_index_2025_03_27
15442,11-3051.02,0.571429,0.428571,anthropic_economic_index_2025_03_27
15477,11-3051.04,0.298851,0.701149,anthropic_economic_index_2025_03_27
1035,11-3061.00,0.526316,0.473684,anthropic_economic_index_2025_03_27
1022,11-3061.00,0.534483,0.465517,anthropic_economic_index_2025_03_27
1034,11-3061.00,0.593985,0.406015,anthropic_economic_index_2025_03_27
21345,11-3071.00,0.395604,0.604396,anthropic_economic_index_2025_03_27
21346,11-3071.00,0.000000,1.000000,anthropic_economic_index_2025_03_27
