code,title,description,credits,department,level,prereqs
AAD 1004,"Exploring Architecture, Arts, and Design","First-Year Experience course for Explore AAD majors. Overview of the college and its degrees, majors and minors, and career opportunities available to CAUS graduates. Presents college and university resources and services that support student success. Introduces students to the basic principles of the research process by focusing on inquiry, problem-solving, and integration of ideas and experiences within the fields in the College of Architecture, Arts, and Design.",2,"Architecture, Arts, and Design",1000,
AAD 1204,Thinking Globally,Seminar for first-year students enrolled in Rhizome Living-Learning Community. Introduction to history and theory of sustainable design in a global context. Investigations of works of sustainable design. Introduction to history and aims of United Nations Sustainable Development Goals (SDGS).,1,"Architecture, Arts, and Design",1000,
AAD 1214,Acting Locally,"Course for first-year students enrolled in Rhizome Living-Learning Community. Project-based learning through student-client collaborations. Applies design history concepts and United Nations Sustainable Development Goals. Integrate diverse community perspectives. Introduces design thinking as a model for problem solving, including problem definition and iteration. Student presentations, proposal development, exhibition, client feedback and peer critiques.",2,"Architecture, Arts, and Design",1000,AAD 1204
AAD 3900,Bridge Experience,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan.",0,"Architecture, Arts, and Design",3000,
AAD 4234,Capstone Collaborations: Cross-Disciplinary Teams,"Collaborative cross-disciplinary research teams support discipline-specific capstones. Analyzes the interactive relationships between place, space, identity, and community in the United States and beyond. Engages in iterative research processes through reflective teamwork addressing complex problems in senior capstone projects. Synthesizes multiple, complex sources and creates coherent arguments including ethical analyses.",3,"Architecture, Arts, and Design",4000,ENGE 2094 and PHIL 3334
AAEC 1005,Economics of the Food and Fiber System,"1005: How the individual economic actor makes rational choices as: consumer, producer, firm/farm, saver, investor, employee, employer, manager, trader. Economic principles that underlie exchange in business, government and household transactions. Utility maximization in the U.S. and global food and fiber system under conditions of scarcity. Evaluation of policy issues important to society. 1006: Overview of economic systems: capitalism versus communism, socialism, feudalism, mercantilism. Interrelationships of U.S. economic fiscal and monetary institutions and policies regarding agricultural productivity, business vitality, sustainable development, and human capital formation. Affordability, safety and security of food and fiber, cultural dynamics, consumer welfare, industrial profitability, natural resources conservation, rural economic infrastructure, international trade, and social justice.",3,Agricultural and Applied Econo,1000,
AAEC 1006,Economics of the Food and Fiber System,"1005: How the individual economic actor makes rational choices as: consumer, producer, firm/farm, saver, investor, employee, employer, manager, trader. Economic principles that underlie exchange in business, government and household transactions. Utility maximization in the U.S. and global food and fiber system under conditions of scarcity. Evaluation of policy issues important to society. 1006: Overview of economic systems: capitalism versus communism, socialism, feudalism, mercantilism. Interrelationships of U.S. economic fiscal and monetary institutions and policies regarding agricultural productivity, business vitality, sustainable development, and human capital formation. Affordability, safety and security of food and fiber, cultural dynamics, consumer welfare, industrial profitability, natural resources conservation, rural economic infrastructure, international trade, and social justice.",3,Agricultural and Applied Econo,1000,
AAEC 2014,Decision Analytics for the Life Sciences,"Data handling, visualization, and reporting techniques for data-driven decision-making. Excel skills and analytical tools through practical, problem-solving scenarios. Data input, fundamental formulas, linking spreadsheets, data cleaning, and creating tables and graphs for effective data presentation. Ethical considerations in data collection, analysis, and dissemination.",3,Agricultural and Applied Econo,2000,
AAEC 2104,Personal Financial Planning,"Survey of fundamental personal financial planning needs and decisions of young professionals. Introduction to the personal financial planning needs that special household circumstances or non-traditional household situations may precipitate. Application of cash, credit, and debt management principles to household scenarios. Completion of federal income tax forms for individuals. Managing the household’s risk exposure. Introduction to investment decisions, particularly related to retirement accounts. Overview of basic estate planning tools and principles. Discussion of the ethical issues related to financial products and decisions.",3,Agricultural and Applied Econo,2000,
AAEC 2434,Foundations of Agribusiness,Introduction to the primary management tools as they relate to farm production enterprises and agribusinesses. Principles and concepts of preparing farm and agribusiness financial statements and their analysis. Application of budgeting and risk management.,3,Agricultural and Applied Econo,2000,AAEC 1005
